id	volume	surface_area	spherecity	label
2FRC	14948.25	5672.28	0.517352674882368	4
2GIW	25989.875	5837.49	0.726876735160697	4
2N3B	20532.875	5523.1	0.656549880893326	4
2N3Y	25114	5920.1	0.700539038254363	4
2N9I	22911.625	5587.15	0.69822874123272	4
2N9J	23477.375	5670.67	0.699223648060994	4
2OZ1	221591.5	61327.1	0.288757824345589	4
2PCB	99875.875	27192.4	0.382833836758392	4
2YBB	1306470.875	352641	0.163889504368284	4
2YK3	44041.875	15234.7	0.395877438308698	4
3A9F	21997.75	7701.17	0.492999246602433	4
3CP5	16859.5	5621.89	0.565585466622029	4
3CYT	29150.5	9780.73	0.468320885825164	4
3H33	9806.875	4978.08	0.445084714322888	4
3H34	9878	4954.43	0.449369000004432	4
3H4N	19074.125	9389.16	0.367694500475571	4
3J2T	1298531.125	383087	0.150252469723574	4
3JBT	1313864	362560	0.160006580908293	4
3NBS	60202.75	20242.8	0.366964816056898	4
3NBT	91135.25	30384.6	0.32232069734994	4
3NWV	60546.875	20086.6	0.371226395578053	4
3O1Y	45457.5	15647.9	0.393639278819767	4
3O20	45523	15085.9	0.408695776569639	4
3OUE	21925.75	10111.9	0.37464591115227	4
3OUQ	22143.25	10304	0.370088721483069	4
3OV0	40590.125	19038.4	0.300008760435831	4
3QIB	113916.75	30002.7	0.37877575795652	4
3QIU	114187	30139.9	0.377647626512954	4
3QIW	113714.375	29860.1	0.380133763958218	4
3VRC	34196.75	11488	0.443502684856516	4
3WC8	15021.875	6645.17	0.443058212839381	4
3WUI	14995.25	6699.31	0.438958224428324	4
3ZCF	60664.5	20380.5	0.366346774175562	4
3ZOO	60848	20417.5	0.366419939796114	4
4NFG	57492.5	16204.9	0.444541078158629	4
4RSZ	92372.875	28234.4	0.35000039564776	4
5CYT	14550.875	5007.88	0.575558692743269	4
5DFS	30732.25	10225.5	0.464011926243993	4
5EXQ	30127.625	10294.1	0.454854336742982	4
5IY5	555695.875	131662	0.248264787100733	4
5JUY	1461679.875	403376	0.154410056240071	4
5O10	30042.375	10243.3	0.456247405200232	4
5TY3	30268	9970.79	0.471060879558737	4
5WVE	1463876.375	400796	0.155559670278145	4
6CUK	16311.25	5537.39	0.561699247320738	4
6CUN	15284.125	5339.59	0.55778898548533	4
6FF5	15024.625	5224.8	0.56357304692187	4
1A2S	12001	4339.46	0.584153153531576	5
1C6O	23352.5	8043.71	0.491190517189908	5
1C6R	11695	4159.98	0.598953397392158	5
1C6S	16122.125	4048.16	0.762385529677553	5
1CED	14233.625	4206.04	0.675285989259631	5
1CTJ	12338.875	4508.78	0.572719700951976	5
1CYI	11968.625	4390.23	0.576358927749868	5
1CYJ	12334.75	4424.25	0.583532030061786	5
1F1F	11488	4330.11	0.568610419173837	5
1GDV	11323.375	4222.93	0.577458575936219	5
1KIB	94038.125	32171.5	0.310848508819045	5
1LS9	11965.125	4452.71	0.568160722209522	5
2V08	22186.5	7963.36	0.479490830041364	5
2ZB0	51339.25	14880	0.448932320612104	5
3DMI	11192.5	4057.6	0.596347809131262	5
3DR0	35888.875	12239.9	0.429878922345359	5
3PH2	10772.375	4152.31	0.568070186921185	5
4EIC	11788.375	4277.07	0.585653030533087	5
4EID	11728.5	4238.69	0.588953197697601	5
4GYD	70901.75	23050.2	0.359402198695824	5
4H0J	71161.375	23121.9	0.359161817037508	5
4H0K	23345.375	8382.76	0.471227899258248	5
1AWD	12515.5	3994.11	0.652673890443032	6
1BLU	10900.375	4037.21	0.588884888941901	6
1CLF	9034.75	2694.54	0.778532803050424	6
1DUR	6891.125	2659.74	0.658423048228827	6
1E0Z	27677.875	6293.91	0.703048725434711	6
1H98	10661.625	3534.85	0.662717955208456	6
1IQZ	10949.75	3642.12	0.654735681543178	6
1IR0	10855.625	3603.46	0.657962245378972	6
1L5P	36815	12626.3	0.423862072389901	6
1PFD	16640.75	4265.02	0.739057649718868	6
1RFK	26029.5	8039.43	0.528326932595614	6
1RGV	10953.625	4110.57	0.580257356792086	6
1ROF	10222.125	3179.9	0.716305226698778	6
1SIZ	18029	6140.67	0.541480462757275	6
1SJ1	18125	6017.25	0.554546641143244	6
1VJW	7623.5	2817.07	0.664950661358329	6
1WTF	43288.75	14087.4	0.423223695729551	6
2V2K	27865.25	8894.88	0.499711480326858	6
2Z8Q	17938.5	6028.9	0.549671805114175	6
3AB5	26522.125	8229.37	0.522624478561357	6
3EUN	11117.75	4038.75	0.596460593373233	6
3EXY	10946.375	4005.8	0.595170975203921	6
3HUI	15189.375	4961.2	0.597847832484218	6
3LXF	70730.625	19848	0.416714907468001	6
3P63	25800.125	7655.9	0.551529922129822	6
3PNI	18297.75	6082.57	0.552071679067734	6
3WCQ	13301.125	4242.79	0.639869639922375	6
4DHV	18075.25	5919.15	0.562705276169878	6
4FXC	13171.875	4174.06	0.64618544390927	6
4ITK	14453.5	5008.59	0.572906821954234	6
4LTU	29020.375	8634.42	0.528915508475693	6
4ZHP	13221.5	4164	0.649372495562502	6
5BOK	14341.125	4521.56	0.631322557502051	6
1JWN	82683.25	23852.2	0.384799094710156	7
1JZK	82684.5	23964.9	0.382993355753255	7
1JZL	41477	11846.5	0.489138998765929	7
1JZM	41207.125	12022.3	0.47989339617226	7
1NWI	82476.375	23963.1	0.382379118365257	7
1NWN	41141.375	11845.7	0.486529595123919	7
1NXF	41541.125	12026.7	0.482306538108657	7
2AUO	41448.875	11910.9	0.486274367640447	7
2AUP	41168	11894.8	0.484730290803585	7
2AUQ	41328.75	12015	0.481129363481281	7
2AUR	41187	11950.3	0.482627528362957	7
2AV0	41370.125	11893.7	0.486360578938001	7
2AV3	40991.5	12087.1	0.47565406929736	7
2GRF	41128.875	12012.9	0.479660714068286	7
2GRH	41670.75	12022.2	0.483490250144745	7
2GRZ	41932.5	12011.5	0.48594529627707	7
2R4W	41548.75	11895.6	0.487681649235237	7
2R4X	41149.25	11955	0.482142956670617	7
2R4Y	41144.375	11921.2	0.483471780631827	7
2R4Z	41239.375	11706.1	0.493113180817736	7
2Z85	41530.75	12030.3	0.482081926419111	7
2Z8A	41378.125	11846.5	0.488361333165415	7
3G46	41840.375	12034.9	0.484289831935886	7
3G4Q	41365.375	12061.1	0.479573507086176	7
3G4R	41392.75	12116.2	0.477603181732395	7
3G4U	41284.875	12146.5	0.475583690582613	7
3G4V	41249.5	12094.5	0.477355574061927	7
3G4W	41543.375	12089.1	0.479834354176434	7
3G4Y	41340.5	12154.3	0.475705299427634	7
3G52	41496	11961.5	0.484584259745757	7
3G53	41356.25	12007.8	0.481631385697656	7
3UGY	41335.625	11910	0.485424883985552	7
3UGZ	41504.75	12031.5	0.481832641108312	7
3UH3	41627	12014.9	0.483445333728828	7
3UH5	41440.375	11880.5	0.487452000521168	7
3UH6	41346.875	11876.4	0.486886540430411	7
3UH7	41419	11994.4	0.48265706699368	7
3UHB	41541.5	11956.2	0.485153389064626	7
3UHC	41767.5	11965.7	0.486524821445441	7
3UHD	41397.5	12276.9	0.471387594936419	7
3UHE	41280.5	11958.5	0.483026231012179	7
3UHG	41610.75	11903.8	0.487830405453695	7
3UHH	41551.375	12054.5	0.481273397381058	7
3UHI	82510.125	24135	0.37975921249996	7
3UHK	82785.125	24074.1	0.381565356579427	7
3UHN	41248.75	12141.9	0.475486292022212	7
3UHQ	41247.125	12159.5	0.47478558997573	7
3UHR	41406.625	11899.8	0.486397145733672	7
3UHS	41184.375	11957	0.482336597110316	7
3UHT	41328.375	12001.5	0.481667652707306	7
3UHU	41125.875	12048.9	0.478204316620641	7
3UHV	41166.875	12072.3	0.477594561233898	7
3UHW	41371	12107	0.477798660502428	7
3UHX	41169.5	12057.7	0.478193180859597	7
3UHY	41350.625	12135.2	0.476531819373326	7
3UHZ	41264.5	12085.8	0.477815000180978	7
3UI0	41116.75	12015.3	0.479470647348308	7
1IZL	401418.25	211552	0.124393703482804	8
1S5L	752846	216399	0.184940902753858	8
1W5C	597388	211809	0.16194866702382	8
2AXT	745941.25	201122	0.197770249523095	8
3A0B	747599.125	201376	0.197813352847216	8
3A0H	751329.875	198741	0.201102325402368	8
3JCU	1071314.5	308021	0.164379802172343	8
3KZI	371118.75	99246.4	0.251639005407999	8
3WU2	749865.875	192029	0.207861008949423	8
4FBY	755408.625	198917	0.201650908639124	8
4IL6	764262	197822	0.204348308539058	8
4IXQ	757840.25	199017	0.201981872587756	8
4IXR	757654	199018	0.201947763230827	8
4PBU	757628.25	193221	0.20800186986957	8
4PJ0	764853.625	199562	0.202671102365077	8
4RVY	759580.625	195120	0.206331208978998	8
4TNH	758683.25	199264	0.201881076164521	8
4TNI	758524.375	199576	0.201537331892418	8
4TNJ	758848.75	199210	0.201965166146119	8
4TNK	758327.5	199392	0.201688405249271	8
4UB6	766796.5	199197	0.203386167311147	8
4UB8	768181.25	200683	0.202123126913036	8
5B5E	752856.375	193596	0.206726348177313	8
5B66	748224.25	192069	0.20751430287729	8
5E7C	751943.375	190041	0.21042317817116	8
5GTH	763300.25	198532	0.203446650126226	8
5GTI	762215.75	198194	0.203600528414734	8
5H2F	735530.125	190870	0.206449306136922	8
5KAF	777675.375	206085	0.198443391240696	8
5KAI	780338.75	206998	0.198018951960865	8
5MDX	1187083.625	418209	0.129641772235366	8
5MX2	759235.375	198017	0.203250959573432	8
5TIS	779258.25	205163	0.199605585363407	8
5V2C	759467.25	196645	0.204710718925931	8
5WS5	756086.875	194518	0.2063346323238	8
5WS6	757585.875	195237	0.205846385114277	8
5XNL	1320492	401392	0.145012663144551	8
5XNM	1232346.625	388105	0.143226531046798	8
5ZZN	757975.75	194921	0.206250828335449	8
1B3I	13260.75	4163.08	0.65080082228544	9
1BAW	44443.5	12620.1	0.480795244791735	9
1BXU	12437.625	3785.16	0.685843228199449	9
1BXV	12436.5	3785.75	0.685694990044767	9
1FA4	24022.5	5668.31	0.710301391514118	9
1IUZ	13017.625	3941.32	0.678990344546341	9
1J5C	21048.625	4982.19	0.739968091568119	9
1J5D	13804.375	4431.81	0.627934228775078	9
1JXD	13592	4181.33	0.658706462190826	9
1JXF	19419.625	4645.3	0.75213809218926	9
1KDI	13794.375	4447.75	0.625381612996432	9
1KDJ	13826.625	4401.61	0.632921751170408	9
1M9W	15722.875	4031.94	0.75276260824044	9
1NIN	23052.5	5122.92	0.764619267902735	9
1PCS	13241.375	4004.91	0.675844453132026	9
1TU2	56676.25	15395.1	0.463484998353054	9
2B3I	17554.5	4625.84	0.706131892340969	9
2BZ7	13734.5	4440.66	0.624566238627217	9
2BZC	13759.125	4454.45	0.623376721028728	9
2CJ3	28823.5	8743.97	0.519924092747993	9
2GIM	28755	8691.84	0.52221336516902	9
2JXM	69227.875	15328	0.531927732711654	9
2Q5B	43704	12487.7	0.480487904402091	9
2W88	44624.75	12655.9	0.480737817361073	9
2W8C	29415.25	8824.43	0.522210770357334	9
3BQV	14348.375	4424.87	0.645335298938438	9
3CVB	28687.375	8521.51	0.531816050303713	9
3CVC	14311.625	4298.45	0.66318018868698	9
3CVD	42801.5	12460.3	0.474892107742282	9
4R0O	60845.375	16174.9	0.46251685966282	9
7PCY	13412.25	3965.56	0.688410299452843	9
9PCY	17618.375	4478.58	0.73111835627262	9
1BTM	67927.125	15288	0.526617887065312	10
1HTI	68626.125	16094.1	0.503667289991561	10
1I45	68415	17169	0.471165350360954	10
1IF2	35201	9369.09	0.55440020376102	10
1LYX	36029.125	9760.23	0.540496910646496	10
1LZO	143253	34332.9	0.385634712740989	10
1M6J	72250.75	17236.5	0.486702167817451	10
1M7O	72950.625	17664.9	0.477960807299333	10
1M7P	72195.75	17280.9	0.485205284728766	10
1N55	35553.125	9501.87	0.550292457297157	10
1NEY	70318.375	16806.7	0.490208563740692	10
1NF0	69687	16979.9	0.482299533835292	10
1R2S	142259.75	34218.7	0.385131149370451	10
1R2T	69183.875	16580	0.49155206005386	10
1SPQ	69930.375	17735.6	0.462823579972829	10
1SQ7	69518.75	17243.7	0.47415642058019	10
1SSD	69829.375	16976.9	0.483041566426719	10
1SSG	69133.75	17212.8	0.473252240295251	10
1SW0	69807.875	16967	0.483224201085814	10
1SW3	69463.125	16958.1	0.481884707469709	10
1SW7	68174.75	16836.4	0.47934763840141	10
1TPB	68597.75	16552	0.489598668070416	10
1TPC	68396.5	16179.6	0.499887483780555	10
1TPH	68615.5	16367.4	0.495206021218545	10
1TPU	68585	16126.6	0.502451413819008	10
1TPV	68580.875	16063.5	0.504404897673273	10
1TRE	68364	16876.2	0.479101765605008	10
1VGA	142708.625	34047.5	0.387881479823379	10
1W0M	240322.625	51833.4	0.360637485847599	10
1WOA	143357.75	34052	0.38900538854788	10
1WOB	142640.125	34210.8	0.385906447919084	10
1WYI	67283.375	16117.3	0.496360271539617	10
1YDV	73447.5	17776.5	0.477114423732152	10
1YPI	69251.5	16969.9	0.480571079081061	10
1YYA	69462.75	16573.8	0.493056489578159	10
2DP3	35513.25	9494.59	0.550302545160559	10
2H6R	227093.75	54002.9	0.333327002401595	10
2I9E	136695.875	33373	0.384526093304518	10
2JGQ	68817.875	16436.1	0.494105310641976	10
2YPI	68589.375	16662	0.486326824509724	10
3M9Y	70855.375	17084	0.484703805053894	10
3PVF	35841.625	9592.43	0.54804213181257	10
3PWA	72153	17629.7	0.475417829011401	10
3PY2	71391.5	17180.9	0.484398235505566	10
3QSR	34312.5	9226.7	0.553442660476896	10
3QST	34796.25	9198.28	0.560358280522727	10
3TA6	69916.5	16818.7	0.487990634267638	10
3TAO	70939.75	16847.3	0.491903883108947	10
3TH6	68057.125	16475.4	0.489287239571827	10
3UWU	70572.125	17306.2	0.477204506187186	10
3UWV	70974.125	17273.5	0.479921800537025	10
3UWW	70437.875	17128.5	0.481543608535984	10
3UWY	72161	17322	0.483898696574853	10
3UWZ	70942.625	17288.6	0.479360746115883	10
3YPI	68942.375	16424.2	0.495059493632823	10
4GNJ	69391.5	18121.6	0.450635188923803	10
4IOT	69590.75	17033.7	0.480333424452218	10
4O4V	34609.125	8945.94	0.574096928254193	10
4O4W	33847.625	8932.3	0.566508317930808	10
4O50	34972.5	9065.24	0.570500379146023	10
4O52	34134	8984.27	0.566403748537377	10
4O53	34292	9062.65	0.563236503049198	10
4O54	34560.75	9113.01	0.56304665588112	10
4O57	33670.875	9020.96	0.558986049102534	10
4OWG	68137.25	15905.1	0.507229053690645	10
4POD	68803.625	15962.4	0.508698138570793	10
4RCX	31819.75	8472.73	0.573137202697131	10
4UNK	67074.375	17032.6	0.468713648808835	10
4WJE	33755.5	8772.58	0.575775459698859	10
5BNK	64680.625	16062.7	0.485119108549948	10
5BRB	67822.125	16868.5	0.476784272500897	10
5CSR	129651.625	33188.4	0.37326429737466	10
5VWN	31562.375	8478.03	0.56968610370147	10
7TIM	68584	16498.4	0.491123636713121	10
